ppt1,time1,gene1,ppt2,time2,gene2
B1,12.7,ARHGAP35,B1,12.7,ARHGEF6
B1,12.7,ARHGEF6,B1,12.7,X
B1,12.7,CCDC64,B1,12.7,MGA
B1,12.7,CMTM7,B1,12.7,X
B1,12.7,HERPUD1,B1,12.7,RNF216P1
B1,12.7,HTT,B1,12.7,X
B1,12.7,KIF18A,B1,12.7,TBCD
B1,12.7,LRRC8A,B1,12.7,ZNF468
B1,12.7,MGA,B1,12.7,ZNF157
B1,12.7,MGA,B1,12.7,WDR26
B1,12.7,PDZD8,B1,12.7,TRA
B1,12.7,PLCB1,B1,12.7,TNRC6A
B1,12.7,RANBP3,B1,12.7,KIF18A
B1,12.7,REV3L,B1,12.7,HERPUD1
B1,12.7,RNF216P1,B1,12.7,XAF1
B1,12.7,RPTOR,B1,12.7,STAT5B
B1,12.7,SESN1,B1,12.7,XAF1
B1,12.7,SESN1,B1,12.7,HTT
B1,12.7,SMG6,B1,12.7,PLCB1
B1,12.7,SMG6,B1,12.7,UBE2H
B1,12.7,SRSF3,B1,12.7,X
B1,12.7,STAT5B,B1,12.7,RANBP3
B1,12.7,TBCD,B1,12.7,MGA
B1,12.7,TNRC6A,B1,12.7,CCDC64
B1,12.7,TNRC6A,B1,12.7,SESN1
B1,12.7,TRA,B1,12.7,LRRC8A
B1,12.7,TTC39B,B1,12.7,X
B1,12.7,UBE2H,B1,12.7,X
B1,12.7,UBE2H,B1,12.7,X
B1,12.7,WDR26,B1,12.7,PDZD8
B1,12.7,WDR26,B1,12.7,REV3L
B1,12.7,X,B1,12.7,X
B1,12.7,X,B1,12.7,WDR26
B1,12.7,X,B1,12.7,X
B1,12.7,X,B1,12.7,TNRC6A
B1,12.7,X,B1,12.7,SRSF3
B1,12.7,X,B1,12.7,X
B1,12.7,X,B1,12.7,SMG6
B1,12.7,X,B1,12.7,UBE2H
B1,12.7,X,B1,12.7,X
B1,12.7,X,B1,12.7,ACACA
B1,12.7,X,B1,12.7,XAF1
B1,12.7,XAF1,B1,12.7,SESN1
B1,12.7,XAF1,B1,12.7,ARHGAP35
